name,city,state,price,lat,lon
Blairsville,Blairsville,PA,3.52733333,40.4309926,-79.2626157
Blakeslee,Blakeslee,PA,3.56566666,41.0925133,-75.5926681
Blanco,Blanco,TX,3.399,30.2419274,-98.4004594
Bland,Bland,VA,3.37566666,37.1312101,-81.1154109
Blandford,Blandford,MA,3.9165,42.1806065,-72.9279125
Bliss,Bliss,ID,3.70983333,42.9267744,-114.9492739
Bloomer,Bloomer,WI,3.41566666,45.1015011,-91.4887197
Bloomfield,Bloomfield,IN,3.759,39.02631,-86.9379018
Bloomingdale,Bloomingdale,GA,3.0545555533333335,32.1324249,-81.2990018
Bloomingdale,Bloomingdale,IL,3.759,41.9575285,-88.0809036
Bloomington,Bloomington,IL,3.524714285714286,40.4797828,-88.9939147
Bloomington,Bloomington,IN,3.499,39.1670396,-86.5342881
Bloomsburg,Bloomsburg,PA,3.643166665,41.0044958,-76.4537302
Bloomsbury,Bloomsbury,NJ,3.7998333300000002,40.6539892,-75.0865619
Bloomsdale,Bloomsdale,MO,3.38233333,38.0094981,-90.2178964
Blossburg,Blossburg,PA,3.684,41.6795186,-77.0638567
Blountstown,Blountstown,FL,3.299,30.4435293,-85.0451953
Blue Earth,Blue Earth,MN,3.3114999999999997,44.0109722,-94.0560643
Bluffton,Bluffton,IN,3.76566666,40.7386579,-85.1716368
Blunt,Blunt,SD,3.1015,44.5130395,-99.9859665
Blythe,Blythe,GA,3.599,33.30482,-82.2065592
Blytheville,Blytheville,AR,3.42233333,35.9283249,-89.9045612
Blythewood,Blythewood,SC,3.0923333299999998,34.2143159,-80.973977
Boardman,Boardman,OR,3.52233333,45.839855,-119.700583
Boaz,Boaz,AL,3.519,34.1983281,-86.1649421
Bogata,Bogata,TX,3.199,33.4711597,-95.2144967
Bois D Arc,Bois D Arc,MO,3.074,37.2564382,-93.507696
Boise City,Boise City,OK,3.40233333,36.7297888,-102.513132
Boise,Boise,ID,3.63594444,43.6166163,-116.200886
Boles,Boles,AR,3.299,34.7795459,-94.0490959
Bolingbrook,Bolingbrook,IL,3.5432857142857146,41.7003302,-88.0717708
Bolivar,Bolivar,MO,3.374,37.6136916,-93.4107968
Bonduel,Bonduel,WI,3.45733333,44.7399556,-88.4461285
Bondurant,Bondurant,IA,3.095,41.7005441,-93.462157
Bonita Springs,Bonita Springs,FL,3.539,26.339806,-81.7786972
Bonners Ferry,Bonners Ferry,ID,3.734,48.6972317,-116.3119832
Boonville,Boonville,MO,3.5140000000000002,38.9751547,-92.7440277
Bordentown,Bordentown,NJ,3.835666666666667,40.1462685,-74.7114508
Borger,Borger,TX,3.01566666,35.6689767,-101.3919481
Boscobel,Boscobel,WI,3.474,43.1346751,-90.7057398
Bossier City,Bossier City,LA,2.96122222,32.515887,-93.7336536
Boulder,Boulder,MT,3.559,46.236595,-112.120834
Bound Brook,Bound Brook,NJ,3.249,40.5684363,-74.5384889
Bourbon,Bourbon,IN,3.499,41.2956002,-86.1163889
Bourbonnais,Bourbonnais,IL,3.354,41.1639309,-87.8839693
Bow,Bow,NH,4.149,43.133061,-71.549149
Bowie,Bowie,AZ,3.0573333333333337,32.3262613,-109.4870141
Bowie,Bowie,TX,2.905666665,33.4198886,-94.4479626
Bowling Green,Bowling Green,KY,3.0964999983333334,36.9929203,-86.4428677
Bowling Green,Bowling Green,MO,3.01566666,39.3419891,-91.1951437
Bowman,Bowman,ND,3.53233333,46.1010498,-103.5086625
Bowman,Bowman,SC,3.43233333,33.3487699,-80.6828713
Bowmansville,Bowmansville,PA,3.97066666,40.1967609,-76.0174416
Box Elder,Box Elder,SD,3.989,44.1333603,-103.0646025
Boyce,Boyce,LA,3.1365,31.3904558,-92.6693132
Boylston,Boylston,MA,3.839,42.353279,-71.7343582
Boynton Beach,Boynton Beach,FL,3.229,26.5289139,-80.058141
Bracey,Bracey,VA,3.099,36.578484,-78.1157892
Bradenton,Bradenton,FL,3.4690000000000003,27.4989278,-82.5748194
Bradner,Bradner,OH,3.40733333,41.3242192,-83.4385387
Brady,Brady,TX,3.6073333300000003,31.1316876,-99.3348678
Brainerd,Brainerd,MN,3.44566666,46.3580221,-94.2008288
Braman,Braman,OK,3.02733333,36.9236404,-97.3336552
Brampton,Brampton,ON,3.5599986749999997,39.22079,-87.3850205
Branchville,Branchville,SC,3.26566666,33.2512711,-80.8156518
Brandon,Brandon,MB,3.685419051666667,32.2731475,-89.9868058
Brandon,Brandon,SD,2.97733333,43.5909294,-96.5874544
Brandywine,Brandywine,MD,3.259,38.6934548,-76.8843081
Branford,Branford,CT,5.069,41.2795414,-72.8150989
Branford,Branford,FL,3.699,29.9591183,-82.9281833
Brantford,Brantford,ON,4.595828235,39.922249,-86.1788517
Braselton,Braselton,GA,3.27233333,34.1092735,-83.7626729
Brattleboro,Brattleboro,VT,3.67233333,42.8507588,-72.5572913
Brawley,Brawley,CA,4.829000000000001,32.9786566,-115.530267
Brazil,Brazil,IN,3.845,39.523652,-87.1250154
Breaux Bridge,Breaux Bridge,LA,3.33483333125,30.2735323,-91.8992837
Breckenridge,Breckenridge,TX,3.30733333,32.7554791,-98.9026798
Breezewood,Breezewood,PA,4.499,39.9990119,-78.2404221
Bremen,Bremen,GA,3.08733333,33.7208676,-85.1456929
Brenham,Brenham,TX,3.199,30.1668828,-96.3977442
Brent,Brent,AL,3.099,32.9373463,-87.1647184
Brewerton,Brewerton,NY,4.089,43.2369147,-76.1436349
Brewton,Brewton,AL,3.399,31.1039239,-87.0722655
Bridgeport,Bridgeport,CT,3.399,41.1792695,-73.1887863
Bridgeport,Bridgeport,MI,3.3603333333333336,43.3594696,-83.8816364
Bridgeport,Bridgeport,TX,2.8767777766666662,33.2101155,-97.7547552
Bridgeton,Bridgeton,MO,3.10733333,38.7566055,-90.42352
Bridgeview,Bridgeview,IL,3.839,41.7500323,-87.8042216
Bridgeville,Bridgeville,DE,3.3289999999999997,38.7427231,-75.6032026
Bridgewater,Bridgewater,MA,3.699,41.9902206,-70.9754432
